Trade Balance(1000$),China,US,Japan,Vietnam,India,Russia,SaudiArabia,UAE,Qatar,Total
2006.03,1653474,874691,-2485165,250787,237180,21302,-1319993,-755096,-450843,895139
2006.04,1604941,751480,-2309802,239287,59212,-61119,-1426337,-781744,-374691,1104303
2006.05,1802103,770746,-2028527,307380,256717,440940,-1481147,-941896,-669602,1724141
2006.06,2006846,1066454,-2207369,281631,203893,298359,-1495932,-839349,-412038,1925341
2006.07,1873828,778831,-2218826,224008,244418,-69883,-1850376,-1057637,-238299,224635
2006.08,2008802,499041,-1976739,344159,135535,-57411,-1932043,-927682,-418013,257733
2006.09,1681172,777730,-2176993,276156,146465,1628,-1523227,-881163,-605534,2014603
2006.1,1718588,393549,-2154272,210025,74540,46742,-1305118,-761951,-504178,2394196
2006.11,1737409,1239510,-2014352,259667,54909,104928,-1167355,-753782,-465073,3837198
2006.12,1741127,1106032,-2268912,275864,43086,-47910,-1328323,-812983,-770595,1257189
2007.01,1511004,618599,-2214930,295761,81277,-17394,-1245154,-628739,-586728,532459
2007.02,1094171,997702,-2264033,301338,207758,86371,-1136595,-453005,-422431,818973
2007.03,1565461,1019956,-2801230,298199,124770,-45655,-1130615,-702368,-765575,1090380
2007.04,1071034,427943,-2862338,345612,146565,-46890,-1307966,-392182,-728893,347574
2007.05,1301431,833275,-2588639,296949,43217,392612,-1406974,-698814,-629396,1182964
2007.06,1435450,703399,-2235133,292523,151263,152855,-1519354,-908993,-416778,3492011
2007.07,1721579,678085,-2219835,425294,274418,-158814,-1320210,-897530,-318378,984243
2007.08,1937805,217066,-2496973,307132,81855,96989,-1571681,-709702,-515526,1356085
2007.09,2023551,665933,-2304328,412762,282459,130340,-1486732,-771740,-562628,2129953
2007.1,1800250,879093,-2828035,433004,180135,379038,-1309008,-1014285,-628071,1692581
2007.11,1868999,828719,-2597122,428323,195291,-37189,-1738323,-890261,-942220,1881769
2007.12,1626645,677031,-2467340,531571,206612,178007,-1965054,-883828,-773802,-865639
2008.01,926094,499270,-2312599,527719,-24724,-262485,-2038860,-1139706,-1049694,-4043456
2008.02,1336810,437249,-2929491,479707,209190,333564,-1911363,-1078038,-1008654,-1446144
2008.03,1798637,796990,-3183158,783008,251735,303063,-2262450,-1221951,-932267,-1118785
2008.04,1506766,632509,-3321820,667507,275502,109568,-2151813,-995717,-1093104,-410154
2008.05,1976970,341049,-2815477,401783,89760,349737,-2839721,-1241272,-1223980,678690
2008.06,1869203,984506,-2570700,627252,97732,314130,-2873350,-1561247,-765216,-569323
2008.07,1514346,409922,-3056573,669580,156048,215210,-3262568,-1797761,-1077878,-1991267
2008.08,1372749,223364,-3013306,364494,-54217,-77416,-3841887,-1195774,-1028457,-3809845
2008.09,715193,557905,-3145224,365182,198810,-70063,-2756466,-1335113,-914329,-2099770
2008.1,1030721,1127432,-2674781,287123,692694,202072,-2191838,-950454,-747543,1012365
2008.11,88311,1020589,-1880837,240374,222593,-51791,-1370881,-588142,-1393521,-12029
2008.12,322827,981043,-1799954,354012,280700,42308,-1026872,-394781,-1238386,542309
2009.01,342188,874148,-1463828,201493,250125,-54784,-1402627,-418910,-964601,-3765416
2009.02,2031939,767262,-2200152,303870,347887,123765,-1068897,-134181,-701489,2799056
2009.03,1881005,957190,-2321682,390619,351123,-148678,-604351,-351167,-659393,3970209
2009.04,2644976,995022,-2505001,373372,231931,1850,-855600,88561,-516755,5452663
2009.05,2619252,567215,-1780915,402732,548917,-151681,-1345394,-273313,-423304,4416806
2009.06,2899937,880545,-2170473,421132,325372,-122561,-1131672,219464,-247391,6520755
2009.07,3264194,705120,-2389390,474805,352704,-92803,-1347263,-581465,-418629,4228698
2009.08,3176152,688542,-2259193,323298,278529,-32565,-1688404,-706586,-460675,1541437
2009.09,3270862,489763,-2423339,398985,294906,-275381,-1635086,-591306,-352635,4165288
2009.1,3375612,463941,-2762812,430643,191446,-123792,-1872496,-726170,-691367,3573500
2009.11,3155752,771131,-2289740,458832,376035,-223058,-1094078,-506127,-801174,4456917
2009.12,3795320,450524,-3090151,599727,322693,-495005,-1834400,-351071,-839191,3089126
2010.01,3888821,343377,-2324257,440681,130746,-209950,-1789503,-785274,-885192,-800580
2010.02,3295654,535135,-2953505,357723,465245,-447447,-1863873,-517597,-867184,1995276
2010.03,3959023,348269,-3633143,475432,369114,-378415,-1546872,-594573,-973810,1733187
2010.04,3647795,646974,-3414789,599408,349170,-209127,-1970470,-626245,-815049,3778646
2010.05,3567504,658618,-2612778,495775,412294,-404391,-1900344,-979739,-1006679,4034360
2010.06,3535005,779087,-3209453,536022,514153,-326820,-1305942,-319413,-938238,6794272
2010.07,3843461,1034530,-3210384,593539,632392,-204587,-1788345,-596715,-785051,5001893
2010.08,3782054,776182,-3066197,560256,540916,-149092,-1875366,-638502,-911389,1205991
2010.09,3848194,833085,-2993721,514619,637910,-124207,-1909233,-648754,-1080727,4409103
2010.1,3779014,1579753,-2769090,523878,786704,-206847,-1947781,-221495,-873437,6339241
2010.11,3587272,1094236,-2675646,537441,392030,-224480,-2266571,-461788,-858940,2591608
2010.12,4530434,784121,-3256873,686486,529467,745740,-2099027,-292991,-1447089,4088606
2011.01,2959170,1024564,-2251933,567567,381754,-61514,-1929747,-651133,-1727649,2484043
2011.02,4269094,845232,-2528677,336370,532319,9963,-2221664,-485890,-1146772,2065824
2011.03,3625965,732650,-3034134,681265,525622,-215332,-2301723,-410692,-1635378,2487039
2011.04,3172521,1274830,-2252031,713639,378615,-9995,-2924738,-787397,-1420093,4348204
2011.05,3519768,700844,-2501474,702734,187060,335594,-2189159,-958976,-1555594,2046397
2011.06,3652926,1052202,-2736944,683776,158466,65148,-2619686,-845598,-1878342,1912121
2011.07,4725536,1040367,-2460108,543232,526273,132504,-2619959,-655498,-1635218,4653984
2011.08,4062345,-60411,-2636071,713456,346988,-196126,-2516567,-647257,-1411438,410381
2011.09,4397895,1204775,-2163578,805939,413802,78831,-2730299,-594724,-2161079,1231496
2011.1,4828579,1113272,-2050405,797634,383016,-176243,-2963673,-539120,-2020072,3903709
2011.11,3703001,1765463,-1871179,884341,415173,-366190,-2331742,-494889,-1346572,3002114
2011.12,4835973,944885,-2153929,950723,511416,-143930,-2659355,-420437,-2342152,2255254
2012.01,2959175,428677,-1972843,607748,420439,-280250,-2863912,-1103567,-1831474,-2316933
2012.02,4391247,1475898,-2204876,932938,450861,-39060,-2760878,-738008,-2671781,1216199
2012.03,3951897,1955261,-2554237,831614,469714,101070,-2864251,-552196,-1747831,2276411
2012.04,3547100,1356767,-2745333,787102,407254,289111,-2645362,-488000,-2217279,2137579
2012.05,3624763,900545,-2197340,920541,468684,-93909,-2866631,-1053574,-2140845,2392018
2012.06,4378693,1212774,-1691422,900023,321880,297611,-2049247,-471251,-1975534,5168976
2012.07,4603817,1087246,-1929800,963647,662313,300348,-1947888,-426944,-2029007,2690781
2012.08,4519859,989753,-1920505,784717,372072,-43064,-2615326,-510655,-1918539,1929506
2012.09,5105999,1537706,-2359795,755278,510525,-138729,-2198225,-537867,-2452020,2853003
2012.1,5366196,781338,-2077305,721203,254857,-372249,-2775815,-702678,-1843995,3707867
2012.11,5514882,1952587,-1717036,989417,400425,-161095,-2643692,-874784,-1695685,4423709
2012.12,5574339,1505046,-2196531,1032502,262187,-116964,-2363781,-794047,-2250760,1806202
2013.01,4104199,1390202,-1514604,889674,237613,-123335,-2336926,-881145,-2363818,376167
2013.02,4867635,1837315,-2074665,895259,401482,183298,-2444368,-1091443,-2614566,1873365
2013.03,4757994,1247316,-2631351,1246913,585129,-18222,-2233203,-982662,-2562164,3335965
2013.04,4637998,1775533,-3150119,1206894,426709,-15946,-1815924,-788929,-2104335,2509684
2013.05,5192476,2205134,-2184978,1286480,453867,-297179,-2195506,-920908,-1801027,5917686
2013.06,4937179,2027060,-1849074,1222585,454921,210536,-2330312,-1137130,-1876286,5971589
2013.07,5776122,1543019,-2278436,1161859,472124,156181,-2184170,-1095923,-1708159,2445117
2013.08,5924325,1762497,-2092533,1167243,335425,-33559,-2756815,-988416,-1484656,4717519
2013.09,5322411,1555944,-1984866,1110361,553115,-48224,-2608777,-1238366,-1789870,3595081
2013.1,5709560,1956256,-2106660,1420758,389041,123271,-2879100,-1100575,-2380322,4875521
2013.11,5673437,1846415,-1326351,1102386,397408,-239990,-2486749,-1075956,-2505517,4798954
2013.12,5913284,1393881,-2173428,1201978,488787,-243226,-2565642,-1083779,-1831053,3630271
